Kept title,Kept author,Course,New total,Record folded in (title),Record folded in (author),Its copies,Role
The No. 1 Ladies' Detective Agency,"Smith, Alexander McCall",Unassigned,13,Ladies Detective Agency,Smith,9,KEPT
,,,,\#1 Ladies' Detective Agency,"Smith, Alexander McCall",4,merged + deleted
The Picture of Dorian Gray,"Wilde, Oscar",Unassigned,45,The Picture of Dorian Gray,Oscar Wilde,44,KEPT
,,,,The Picture of Dorian Gray,"Wilde, Oscar",1,merged + deleted
The Road,"McCarthy, Cormac",English 10,94,The Road,Mcarthy,48,KEPT
,,,,The Road,Cormac McCarthy,46,merged + deleted
The Scarlet Letter,"Hawthorne, Nathaniel",English 11,188,The Scarlet Letter,Hawthorne,184,KEPT
,,,,The Scarlet Letter,"Hawthorne, Nathaniel",4,merged + deleted
The Secret Life of Bees,"Kidd, Sue Monk",Unassigned,4,The Secret Life of Bees,Kidd,2,KEPT
,,,,The Secret Life of Bees,"Kidd, Sue Monk",2,merged + deleted
The Secret Side of Empty,"Andreu, Maria E.",Unassigned,19,The Secret Side of Empty,Andreu,15,KEPT
,,,,The Secret Side of Empty,"Andreu, Maria E.",4,merged + deleted
The Shallows: How the Internet Is Changing Us,"Carr, Nicholas",Unassigned,20,the Shallows: How the Internet In Changing Us,"Carr, Nicholas",15,KEPT
,,,,The Shallows,Carr,5,merged + deleted
The Walmart Effect,"Fishman, Charles",Unassigned,26,The Walmart Effect,Fishman,17,KEPT
,,,,The Walmart Effect,"Fishman, Charles",9,merged + deleted
The Wind-Up Bird Chronicle,"Murakami, Haruki",Unassigned,19,The Wind-Up Bird Chronicle,Haruki Murakami,14,KEPT
,,,,The Wind-Up Bird Chronicle,"Maurikami, Haruki",5,merged + deleted
Their Eyes Were Watching God,"Hurston, Zora Neale",English 11,67,Their Eyes Were Watching God,Hurston,53,KEPT
,,,,Their Eyes Were Watching God,Zora N. Hurston,13,merged + deleted
,,,,Their Eyes Were Watching God,"Hurston, Zora Neale",1,merged + deleted
Things Fall Apart,Chinua Achebe,AP Literature and Composition,120,Things Fall Apart,Achebe,78,KEPT
,,,,Things Fall Apart,Chinua Achebe,42,merged + deleted
This Land Is Our Land,"Mehta, Suketu",Unassigned,10,This Land is Our Land,Mehta,5,KEPT
,,,,This Land is Our Land,"Mehta, Suketu",3,merged + deleted
,,,,This is Our Land,Mehta,2,merged + deleted
To Kill a Mockingbird,"Lee, Harper",English 9,274,To Kill a Mockingbird,Harper Lee,143,KEPT
,,,,To Kill a Mockingbird,Lee,128,merged + deleted
,,,,To Kill a Mockingbird,"Lee, Harper",3,merged + deleted
Uglies,"Westerfeld, Scott",Unassigned,22,Uglies,Westerfeld,11,KEPT
,,,,Uglies,"Westerfeld, Scott",11,merged + deleted
Uncle Tom's Cabin,"Stowe, Harriet Beecher",Unassigned,18,Uncle Tom's Cabin,Beecher Stowe,13,KEPT
,,,,Uncle Tom's Cabin,"Stowe, Harriet Beecher",5,merged + deleted
Wonder,"Palacio, R.J.",Unassigned,14,Wonder,"Palacio, R.J.",8,KEPT
,,,,Wonder,Palacio,6,merged + deleted
